Código,Producto,Equipo,Equipación,Año,Talla,Tipo Dorsal,Dorsal Personalizado,Parches,Tipo Manga/Gorra,Descripción,Cantidad,Almacen/Ubicación,Costo,P. Venta,Proveedor,Cliente,Teléfono,Fecha Registro,Nota
"YOLO-AIMOQ1","camiseta de fútbol","ARGENITA","Local","2026","XL","nombre y Número","MESSI #10","","Manga corta","MUNDIAL 2026","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-K6BVF0","camiseta de fútbol","PORTUGAL","Edición Especial","2026","S","nombre y Número","RONALDO","WINNER 2025  FIFA26","Manga corta","PANTERA NEGRA","2","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-JNCQGK","camiseta de fútbol","PORTUGAL","Edición Especial","2026","M","nombre y Número","RONALDO","WINNER 2025  FIFA26","Manga corta","PANTERA NEGRA","2","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-81RAUJ","camiseta de fútbol","PORTUGAL","Edición Especial","2026","L","nombre y Número","RONALDO","WINNER 2025  FIFA26","Manga corta","PANTERA NEGRA","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-ZJ1QIC","camiseta de fútbol","PORTUGAL","Edición Especial","2026","XL","nombre y Número","RONALDO","WINNER 2025  FIFA26","Manga corta","PANTERA NEGRA","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-PWLRPY","camiseta de fútbol","VENEZUELA","Retro","2000","S","nombre y Número","ARANGO #18","-","Manga corta","","2","CAJA 2","11","40","","","","25/03/2026 4:32 PM",""
"YOLO-O04N9H","camiseta de fútbol","VENEZUELA","Retro","2000","M","nombre y Número","ARANGO #18","-","Manga corta","","2","CAJA 2","11","40","","","","25/03/2026 4:32 PM",""
"YOLO-GAUMQC","camiseta de fútbol","VENEZUELA","Retro","2000","L","nombre y Número","ARANGO #18","-","Manga corta","","2","CAJA 2","11","40","","","","25/03/2026 4:32 PM",""
"YOLO-80HH4N","camiseta de fútbol","VENEZUELA","Retro","2000","XL","nombre y Número","ARANGO #18","-","Manga corta","","2","CAJA 2","11","40","","","","25/03/2026 4:32 PM",""
"YOLO-9XJDB7","gorra","VENEZUELA","No aplica","2026","Ajustable","nombre y Número","","CLASICO MUNDIAL DE BEISBOL","Gorra Curva","CASIMIR ESTANDAR","","Vendido","9","20","","EDUARDO JIMÉNEZ (RESTORED)","","25/03/2026 4:32 PM","CLASICO MUNDIAL DE BEISBOL"
"YOLO-5LBYDH","gorra","VENEZUELA","No aplica","2026","Ajustable","nombre y Número","-","CLASICO MUNDIAL DE BEISBOL","Gorra Curva","CURDUROI PANA AFELPADO","5","CAJA 1","9","20","PIERUW","","","25/03/2026 4:32 PM","CLASICO MUNDIAL DE BEISBOL"
"YOLO-K4TZVH","camiseta de fútbol","VENEZUELA","Local","2026","S","Sin dorsal","","-","manga larga","","3","CAJA 2","11","30","","","","25/03/2026 4:32 PM",""
"YOLO-93Q5E3","camiseta de fútbol","VENEZUELA","Local","2026","M","Sin dorsal","","-","manga larga","","3","CAJA 2","11","35","","","","25/03/2026 4:32 PM",""
"YOLO-JALD4J","camiseta de fútbol","VENEZUELA","Local","2026","L","Sin dorsal","","-","manga larga","","2","CAJA 2","11","35","","","","25/03/2026 4:32 PM",""
"YOLO-B4DZG6","camiseta de fútbol","VENEZUELA","Local","2026","XL","Sin dorsal","","-","manga larga","","1","CAJA 2","11","35","","","","25/03/2026 4:32 PM",""
"YOLO-HUAIEZ","camiseta de fútbol","VENEZUELA","Local","2026","12","Sin dorsal","","-","manga larga","","1","CAJA 2","11","32","","","","25/03/2026 4:32 PM",""
"YOLO-YZO0M9","camiseta de fútbol","VENEZUELA","Local","2026","16","Sin dorsal","","-","manga larga","","1","CAJA 2","11","32","","","","25/03/2026 4:32 PM",""
"YOLO-0SODDR","camiseta de fútbol","AC MILAN","Retro","2007","S","nombre y Número","KAKA #22","CHAMPIONS","Manga corta","","1","F2","11","","","","","25/03/2026 4:32 PM",""
"YOLO-FU12K5","camiseta de fútbol","BRASIL","Edición Especial","2024","S","Sin dorsal","","-","Manga corta","","1","F2","11","","","","","25/03/2026 4:32 PM",""
"YOLO-VVYFNQ","camiseta de fútbol","ALEMANIA","Local","2026","M","nombre y Número","MUSIALA","","Manga corta","MUNDIAL 2026","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-0BPLLH","camiseta de fútbol","ALEMANIA","Local","2026","L","nombre y Número","MUSIALA","","Manga corta","MUNDIAL 2026","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-CRSBXI","camiseta de fútbol","ESPAÑA","Local","2026","M","nombre y Número","LAMINE YAMAL #19","","Manga corta","MUNDIAL 2026","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
"YOLO-9KLP14","camiseta de fútbol","PORTUGAL","Local","2026","S","nombre y Número","RONALDO #7","","Manga corta","MUNDIAL 2026","1","CAJA 3","11","38","","","","25/03/2026 4:32 PM",""
